Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,470p,
C2,0805,1,2.2u,
"C3, C6",0805,2,10uF,
"C5, C7",0603,2,.1uF,
"D1, D2, D3, D4, D5, D6, D7",D_SOD-123,7,1N5819,
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_14P,
J2,TerminalBlock_Xinya_XY308-2.54-10P_1x10_P2.54mm_Horizontal,1,Screw_Terminal_01x10,
J3,PinHeader_1x02_P2.54mm_Vertical,1,BOOT,
J4,TerminalBlock_Xinya_XY308-2.54-3P_1x03_P2.54mm_Horizontal,1,Screw_Terminal_01x03,
K1,Relay_SPDT_SANYOU_SRD_Series_Form_C,1,D1,
K2,Relay_SPDT_SANYOU_SRD_Series_Form_C,1,D2,
K3,Relay_SPDT_SANYOU_SRD_Series_Form_C,1,D3,
K4,Relay_SPDT_SANYOU_SRD_Series_Form_C,1,D4,
PS1,Converter_ACDC_Hi-Link_HLK-10Mxx,1,HLK-10M05,
"Q1, Q2, Q3, Q4",TO-92_Inline,4,BC547,
"R1, R2",0603,2,5.1k,
"R3, R4, R5",0603,3,10K,
"R6, R7, R8, R9",0603,4,1k,
SW1,SW_Push_SPST_NO_Alps_SKRK,1,SW_Push,
U1,ESP32-C3-WROOM-02,1,ESP32-C3-WROOM-02,
U2,SOT-223-3_TabPin2,1,AMS1117-3.3,
