Designator,Mid X,Mid Y,Rotation,Layer
C1,176.0,-131.5,0.0,top
C2,179.75,-131.5,0.0,top
C3,165.8,-140.25,180.0,top
C5,218.0,-145.8,0.0,top
C6,227.33,-67.0,270.0,top
C7,225.12,-67.0,90.0,top
D1,162.0,-105.0,180.0,bottom
D2,179.05,-105.0,180.0,bottom
D3,196.0,-105.0,180.0,bottom
D4,213.0,-105.0,180.0,bottom
D5,165.75,-138.0,0.0,top
D6,177.0,-129.0,180.0,top
D7,164.0,-129.0,90.0,top
J1,174.68,-146.925,0.0,top
J3,215.995,-139.0,90.0,top
J5,155.0,-66.46,90.0,top
K1,162.025,-101.4,90.0,top
K2,179.075,-101.4,90.0,top
K3,196.025,-101.4,90.0,top
K4,212.975,-101.4,90.0,top
PS1,198.3725,-67.0,0.0,top
Q1,162.0,-115.0,180.0,top
Q2,179.0,-115.0,180.0,top
Q3,196.0,-115.0,180.0,top
Q4,213.0,-115.0,180.0,top
R1,173.0,-140.5,90.0,top
R2,181.0,-143.75,270.0,top
R3,213.0,-147.0,270.0,top
R4,214.425,-141.8,0.0,top
R5,189.2,-146.4,180.0,top
R6,162.0,-120.0,90.0,top
R7,179.0,-120.0,90.0,top
R8,196.0,-120.0,90.0,top
R9,213.0,-120.0,90.0,top
SW1,220.0,-143.25,0.0,top
U1,201.0,-143.4,180.0,top
U2,170.0,-129.0,270.0,top
